age,education,used_before,profession,EaseofNavigation1,EaseofNavigation2,LearnCurve1,LearnCurve2,ClarityofInstructions1,ClarityofInstructions2,ResponseTime1,ResponseTime2,ErrorHandling1,ErrorHandling2,ProductAvailability1,ProductAvailability2,Convenience1,Convenience2,Cost-effectiveness1,Cost-effectiveness2,InformationAccessibility1,InformationAccessibility2,Personalization1,Personalization2,PrivacyProtection1,PrivacyProtection2,PaymentSecurity1,PaymentSecurity2,TransparentPolicies1,TransparentPolicies2,WordofMouthandRecommendations1,WordofMouthandRecommendations2,SocialMediaPosts/Influence1,SocialMediaPosts/Influence2,OnlineReviewsandRatings1,OnlineReviewsandRatings2,SocialProof1,SocialProof2,NormativePressure1,NormativePressure2,InformationSharing1,InformationSharing2,Attitude1,Attitude2,PerceivedRisk1,PerceivedRisk2,IntentiontoPurchaseOnline1,IntentiontoPurchaseOnline2,IntentiontoPurchaseOnline3,IntentiontoPurchaseOnline4,gender_Female,gender_Male,marital_status_Married,marital_status_Single,Have you made online purchases during crisis time?_No,Have you made online purchases during crisis time?_Yes,platform_general_clean,general_aliexpress,general_daraz,general_ebay,general_ikman,general_kapruka,general_other,general_takas,general_unknown,general_wishque,general_wow,platform_auto_clean,auto_amazon,auto_autolanka,auto_ikmnan,auto_lankavehicle,auto_other,auto_patpat,auto_pricelanka,auto_riyasewana,auto_unknown,platform_pharmacy_clean,pharmacy_ceymed,pharmacy_epharma,pharmacy_healthgurd,pharmacy_healthnet,pharmacy_nearby,pharmacy_onlinepharmacy,pharmacy_other,pharmacy_unknown,platform_fashion_clean,fashion_fashionbug,fashion_gflock,fashion_kapruka,fashion_kellyfelder,fashion_midnightdivas,fashion_mimosa,fashion_odel,fashion_other,fashion_springandsummer,fashion_thilakawardana,fashion_unknown,platform_grocery_clean,grocery_arpico,grocery_cinnamonhotel,grocery_glomark,grocery_keels,grocery_other,grocery_pickmefoods,grocery_ubereats,grocery_unknown
1,4,1,3,5,4,5,5,5,5,5,3,3,4,4,4,4,5,4,3,3,3,4,3,3,2,5,5,4,2,3,4,3,3,4,5,4,5,4,2,3,3,4,4,4,4,4,4,4,4,0.0,1.0,0.0,1.0,0.0,1.0,"['daraz', 'ikman']",0,1,0,1,0,0,0,0,0,0,"['patpat', 'riyasewana']",0,0,0,0,0,1,0,1,0,['unknown'],0,0,0,0,0,0,0,1,['unknown'],0,0,0,0,0,0,0,0,0,0,1,"['ubereats', 'pickmefoods', 'keels']",0,0,0,1,0,1,1,0
1,4,1,3,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,0.0,1.0,1.0,0.0,0.0,1.0,"['daraz', 'kapruka']",0,1,0,0,1,0,0,0,0,0,['unknown'],0,0,0,0,0,0,0,0,1,['unknown'],0,0,0,0,0,0,0,1,['kellyfelder'],0,0,0,1,0,0,0,0,0,0,0,"['ubereats', 'keels']",0,0,0,1,0,0,1,0
1,3,1,3,2,3,3,3,3,3,2,1,2,2,4,4,5,4,3,4,4,4,4,4,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0.0,1.0,1.0,0.0,0.0,1.0,"['daraz', 'kapruka', 'ikman']",0,1,0,1,1,0,0,0,0,0,"['patpat', 'riyasewana']",0,0,0,0,0,1,0,1,0,['unknown'],0,0,0,0,0,0,0,1,['unknown'],0,0,0,0,0,0,0,0,0,0,1,['unknown'],0,0,0,0,0,0,0,1
1,4,1,3,4,4,3,3,3,3,4,2,2,3,4,5,5,4,1,1,4,3,4,5,4,3,4,4,4,4,4,4,4,5,2,4,4,1,4,3,4,4,4,3,4,4,3,3,3,4,0.0,1.0,1.0,0.0,0.0,1.0,"['daraz', 'kapruka', 'ikman', 'takas', 'wow']",0,1,0,1,1,0,1,0,0,1,['riyasewana'],0,0,0,0,0,0,0,1,0,['unknown'],0,0,0,0,0,0,0,1,"['kapruka', 'fashionbug', 'odel']",1,0,1,0,0,0,1,0,0,0,0,"['ubereats', 'pickmefoods', 'keels']",0,0,0,1,0,1,1,0
1,4,1,3,4,4,4,3,5,4,5,2,3,3,4,4,5,5,4,5,5,5,5,5,5,4,5,5,5,5,5,5,5,4,5,5,4,4,4,5,4,5,4,4,4,4,3,4,4,4,1.0,0.0,0.0,1.0,0.0,1.0,"['kapruka', 'aliexpress']",1,0,0,0,1,0,0,0,0,0,['riyasewana'],0,0,0,0,0,0,0,1,0,['other'],0,0,0,0,0,0,1,0,"['odel', 'other']",0,0,0,0,0,0,1,1,0,0,0,['ubereats'],0,0,0,0,0,0,1,0
1,4,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,1.0,0.0,1.0,0.0,0.0,1.0,['daraz'],0,1,0,0,0,0,0,0,0,0,['unknown'],0,0,0,0,0,0,0,0,1,['onlinepharmacy'],0,0,0,0,0,1,0,0,"['thilakawardana', 'fashionbug']",1,0,0,0,0,0,0,0,0,1,0,"['ubereats', 'pickmefoods', 'keels']",0,0,0,1,0,1,1,0
1,4,1,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0.0,1.0,0.0,1.0,0.0,1.0,['daraz'],0,1,0,0,0,0,0,0,0,0,['autolanka'],0,1,0,0,0,0,0,0,0,['epharma'],0,1,0,0,0,0,0,0,['kapruka'],0,0,1,0,0,0,0,0,0,0,0,['ubereats'],0,0,0,0,0,0,1,0
1,4,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,0.0,1.0,0.0,1.0,0.0,1.0,"['daraz', 'kapruka']",0,1,0,0,1,0,0,0,0,0,"['autolanka', 'riyasewana']",0,1,0,0,0,0,0,1,0,['ceymed'],1,0,0,0,0,0,0,0,['unknown'],0,0,0,0,0,0,0,0,0,0,1,"['ubereats', 'pickmefoods', 'keels']",0,0,0,1,0,1,1,0
1,4,1,3,5,4,4,4,4,4,3,2,4,4,4,3,4,4,4,4,3,3,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,0.0,1.0,1.0,0.0,1.0,0.0,"['daraz', 'ikman']",0,1,0,1,0,0,0,0,0,0,['unknown'],0,0,0,0,0,0,0,0,1,['unknown'],0,0,0,0,0,0,0,1,['unknown'],0,0,0,0,0,0,0,0,0,0,1,"['ubereats', 'pickmefoods']",0,0,0,0,0,1,1,0
1,4,1,3,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,3,3,4,4,3,4,5,5,4,4,3,2,3,4,5,5,5,4,2,5,5,4,0.0,1.0,0.0,1.0,0.0,1.0,"['daraz', 'kapruka', 'ikman']",0,1,0,1,1,0,0,0,0,0,"['patpat', 'riyasewana']",0,0,0,0,0,1,0,1,0,['healthgurd'],0,0,1,0,0,0,0,0,['unknown'],0,0,0,0,0,0,0,0,0,0,1,"['ubereats', 'pickmefoods']",0,0,0,0,0,1,1,0
1,4,1,3,3,3,4,4,2,2,4,3,3,2,5,5,4,4,4,4,3,2,3,4,3,4,5,4,4,3,2,4,3,4,4,4,4,3,4,3,4,3,4,4,3,4,3,4,4,4,0.0,1.0,0.0,1.0,0.0,1.0,"['daraz', 'kapruka']",0,1,0,0,1,0,0,0,0,0,['unknown'],0,0,0,0,0,0,0,0,1,['unknown'],0,0,0,0,0,0,0,1,"['fashionbug', 'odel']",1,0,0,0,0,0,1,0,0,0,0,"['ubereats', 'pickmefoods', 'keels']",0,0,0,1,0,1,1,0
1,4,1,3,3,3,4,4,3,4,4,2,2,4,3,3,3,3,3,3,2,3,2,1,2,1,4,4,4,3,4,5,5,3,5,5,2,1,1,1,4,4,4,4,5,5,3,4,4,5,0.0,1.0,1.0,0.0,0.0,1.0,['unknown'],0,0,0,0,0,0,0,1,0,0,['riyasewana'],0,0,0,0,0,0,0,1,0,['unknown'],0,0,0,0,0,0,0,1,"['odel', 'midnightdivas']",0,0,0,0,1,0,1,0,0,0,0,"['ubereats', 'pickmefoods', 'keels']",0,0,0,1,0,1,1,0
0,4,1,3,5,5,5,5,5,5,5,5,5,5,3,3,5,5,4,3,3,4,3,3,5,5,5,5,5,5,4,5,4,4,5,5,4,3,4,3,5,5,5,5,5,5,4,5,5,5,1.0,0.0,0.0,1.0,0.0,1.0,"['daraz', 'kapruka', 'ikman']",0,1,0,1,1,0,0,0,0,0,"['autolanka', 'riyasewana']",0,1,0,0,0,0,0,1,0,"['epharma', 'healthgurd', 'ceymed']",1,1,1,0,0,0,0,0,"['fashionbug', 'odel', 'midnightdivas']",1,0,0,0,1,0,1,0,0,0,0,"['ubereats', 'pickmefoods', 'keels']",0,0,0,1,0,1,1,0
1,4,1,3,4,4,4,5,4,4,3,3,3,3,3,4,4,4,3,3,3,4,4,3,3,4,3,3,3,4,4,4,5,5,5,4,4,2,3,1,3,3,3,4,5,5,4,4,4,5,0.0,1.0,1.0,0.0,0.0,1.0,['unknown'],0,0,0,0,0,0,0,1,0,0,['unknown'],0,0,0,0,0,0,0,0,1,['healthgurd'],0,0,1,0,0,0,0,0,['odel'],0,0,0,0,0,0,1,0,0,0,0,"['ubereats', 'pickmefoods', 'keels']",0,0,0,1,0,1,1,0
1,0,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,0.0,1.0,0.0,1.0,0.0,1.0,"['daraz', 'kapruka', 'ikman', 'takas', 'wow']",0,1,0,1,1,0,1,0,0,1,['riyasewana'],0,0,0,0,0,0,0,1,0,['unknown'],0,0,0,0,0,0,0,1,['midnightdivas'],0,0,0,0,1,0,0,0,0,0,0,['keels'],0,0,0,1,0,0,0,0
1,4,1,0,3,3,4,3,3,4,4,1,2,2,3,3,5,5,5,4,3,5,3,4,3,3,4,4,4,2,5,5,4,3,5,4,4,3,4,3,3,3,4,4,4,4,5,4,4,4,0.0,1.0,0.0,1.0,0.0,1.0,"['daraz', 'kapruka']",0,1,0,0,1,0,0,0,0,0,"['patpat', 'riyasewana', 'lankavehicle']",0,0,0,1,0,1,0,1,0,['unknown'],0,0,0,0,0,0,0,1,"['kapruka', 'odel', 'midnightdivas']",0,0,1,0,1,0,1,0,0,0,0,"['ubereats', 'pickmefoods', 'keels']",0,0,0,1,0,1,1,0
1,4,1,3,4,4,4,3,3,4,3,3,3,4,4,4,4,4,3,2,3,2,4,4,3,3,4,3,3,3,4,4,4,4,4,4,4,3,4,2,4,4,4,4,5,5,5,4,4,5,0.0,1.0,0.0,1.0,0.0,1.0,"['daraz', 'kapruka', 'ikman']",0,1,0,1,1,0,0,0,0,0,['riyasewana'],0,0,0,0,0,0,0,1,0,['healthgurd'],0,0,1,0,0,0,0,0,"['kapruka', 'fashionbug']",1,0,1,0,0,0,0,0,0,0,0,"['ubereats', 'pickmefoods', 'keels']",0,0,0,1,0,1,1,0
1,6,1,3,4,4,4,4,3,4,3,3,3,5,2,3,4,4,3,4,4,2,2,3,4,4,4,4,3,4,3,4,2,1,5,4,1,1,2,1,4,3,4,4,5,5,5,4,4,5,1.0,0.0,1.0,0.0,0.0,1.0,"['daraz', 'kapruka', 'ikman', 'wishque']",0,1,0,1,1,0,0,0,1,0,['unknown'],0,0,0,0,0,0,0,0,1,['healthgurd'],0,0,1,0,0,0,0,0,['kapruka'],0,0,1,0,0,0,0,0,0,0,0,"['ubereats', 'pickmefoods', 'keels']",0,0,0,1,0,1,1,0
1,4,1,0,4,3,4,4,4,4,4,2,2,2,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0.0,1.0,0.0,1.0,1.0,0.0,['daraz'],0,1,0,0,0,0,0,0,0,0,['unknown'],0,0,0,0,0,0,0,0,1,['unknown'],0,0,0,0,0,0,0,1,['unknown'],0,0,0,0,0,0,0,0,0,0,1,['unknown'],0,0,0,0,0,0,0,1
1,6,1,3,5,4,4,5,4,5,4,3,3,4,5,3,5,5,3,3,3,1,1,2,3,3,4,4,3,3,4,4,4,3,4,5,3,3,3,1,5,3,5,5,4,5,4,5,5,5,1.0,0.0,1.0,0.0,0.0,1.0,['daraz'],0,1,0,0,0,0,0,0,0,0,['unknown'],0,0,0,0,0,0,0,0,1,"['healthgurd', 'ceymed']",1,0,1,0,0,0,0,0,['unknown'],0,0,0,0,0,0,0,0,0,0,1,"['ubereats', 'pickmefoods', 'keels']",0,0,0,1,0,1,1,0
1,4,1,3,5,3,3,3,3,3,3,3,2,2,3,4,5,4,4,3,3,2,2,2,2,2,2,2,2,2,3,4,4,4,5,5,4,4,4,2,3,3,4,4,4,4,4,4,4,4,0.0,1.0,1.0,0.0,1.0,0.0,"['daraz', 'ikman']",0,1,0,1,0,0,0,0,0,0,['riyasewana'],0,0,0,0,0,0,0,1,0,['unknown'],0,0,0,0,0,0,0,1,['unknown'],0,0,0,0,0,0,0,0,0,0,1,"['ubereats', 'keels']",0,0,0,1,0,0,1,0
1,4,1,3,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,3,3,4,4,3,2,3,3,3,2,2,4,4,4,4,4,5,4,4,4,3,4,4,4,4,5,4,4,4,4,4,0.0,1.0,1.0,0.0,0.0,1.0,['daraz'],0,1,0,0,0,0,0,0,0,0,['unknown'],0,0,0,0,0,0,0,0,1,['unknown'],0,0,0,0,0,0,0,1,['midnightdivas'],0,0,0,0,1,0,0,0,0,0,0,"['ubereats', 'keels']",0,0,0,1,0,0,1,0
1,4,1,3,3,3,4,5,5,5,4,3,3,3,4,5,5,4,3,2,3,4,3,3,3,4,4,3,3,3,4,3,5,3,2,2,2,3,2,3,2,2,3,3,2,2,4,3,3,2,0.0,1.0,0.0,1.0,0.0,1.0,['daraz'],0,1,0,0,0,0,0,0,0,0,['pricelanka'],0,0,0,0,0,0,1,0,0,['healthgurd'],0,0,1,0,0,0,0,0,['thilakawardana'],0,0,0,0,0,0,0,0,0,1,0,['ubereats'],0,0,0,0,0,0,1,0
1,6,1,3,3,4,3,4,4,5,3,2,3,3,4,4,4,4,3,4,3,3,3,3,3,2,3,2,2,2,3,4,4,4,4,4,4,3,4,4,3,3,3,4,4,4,4,4,4,4,1.0,0.0,1.0,0.0,0.0,1.0,"['daraz', 'kapruka', 'other']",0,1,0,0,1,1,0,0,0,0,['unknown'],0,0,0,0,0,0,0,0,1,['unknown'],0,0,0,0,0,0,0,1,['fashionbug'],1,0,0,0,0,0,0,0,0,0,0,['keels'],0,0,0,1,0,0,0,0
1,4,1,3,1,2,2,1,2,2,2,3,2,2,1,2,2,2,1,2,1,1,2,1,2,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,2,2,0.0,1.0,0.0,1.0,0.0,1.0,"['daraz', 'kapruka', 'ikman']",0,1,0,1,1,0,0,0,0,0,"['patpat', 'riyasewana']",0,0,0,0,0,1,0,1,0,['unknown'],0,0,0,0,0,0,0,1,['kapruka'],0,0,1,0,0,0,0,0,0,0,0,"['ubereats', 'pickmefoods']",0,0,0,0,0,1,1,0
1,4,1,3,4,4,4,5,4,4,2,3,2,2,4,3,4,4,4,2,3,4,4,3,3,2,3,4,2,1,4,4,4,3,5,5,3,3,4,2,2,2,4,4,4,4,3,4,4,4,0.0,1.0,1.0,0.0,0.0,1.0,"['daraz', 'kapruka', 'ikman']",0,1,0,1,1,0,0,0,0,0,['riyasewana'],0,0,0,0,0,0,0,1,0,['unknown'],0,0,0,0,0,0,0,1,['odel'],0,0,0,0,0,0,1,0,0,0,0,"['ubereats', 'pickmefoods', 'keels']",0,0,0,1,0,1,1,0
1,4,1,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,3,3,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,4,0.0,1.0,0.0,1.0,0.0,1.0,['daraz'],0,1,0,0,0,0,0,0,0,0,['unknown'],0,0,0,0,0,0,0,0,1,['unknown'],0,0,0,0,0,0,0,1,['unknown'],0,0,0,0,0,0,0,0,0,0,1,['unknown'],0,0,0,0,0,0,0,1
1,4,1,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,3,3,3,4,3,3,3,2,3,3,3,3,4,3,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0.0,1.0,0.0,1.0,0.0,1.0,"['daraz', 'kapruka', 'ikman']",0,1,0,1,1,0,0,0,0,0,['riyasewana'],0,0,0,0,0,0,0,1,0,['unknown'],0,0,0,0,0,0,0,1,['unknown'],0,0,0,0,0,0,0,0,0,0,1,"['ubereats', 'pickmefoods']",0,0,0,0,0,1,1,0
1,4,1,3,4,4,4,4,4,4,2,2,2,2,3,3,4,2,3,2,3,3,3,2,4,4,4,4,4,4,4,4,3,4,4,4,3,3,4,3,4,4,4,4,4,4,3,4,4,4,0.0,1.0,1.0,0.0,0.0,1.0,"['daraz', 'ikman', 'wow']",0,1,0,1,0,0,0,0,0,1,"['patpat', 'riyasewana']",0,0,0,0,0,1,0,1,0,['unknown'],0,0,0,0,0,0,0,1,['unknown'],0,0,0,0,0,0,0,0,0,0,1,"['ubereats', 'pickmefoods', 'keels']",0,0,0,1,0,1,1,0
1,6,1,3,4,4,4,4,4,4,3,3,4,4,3,3,4,4,4,3,3,4,3,3,4,3,4,3,3,4,4,4,3,4,3,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,0.0,1.0,0.0,1.0,0.0,1.0,"['daraz', 'ikman']",0,1,0,1,0,0,0,0,0,0,"['patpat', 'riyasewana']",0,0,0,0,0,1,0,1,0,['unknown'],0,0,0,0,0,0,0,1,['unknown'],0,0,0,0,0,0,0,0,0,0,1,"['ubereats', 'pickmefoods']",0,0,0,0,0,1,1,0
1,4,1,3,4,2,4,4,3,3,3,2,4,3,4,3,5,4,4,4,3,4,4,3,2,2,4,4,4,4,5,4,4,5,5,4,4,4,3,2,4,4,4,4,5,5,4,4,4,5,0.0,1.0,0.0,1.0,0.0,1.0,['daraz'],0,1,0,0,0,0,0,0,0,0,['unknown'],0,0,0,0,0,0,0,0,1,['unknown'],0,0,0,0,0,0,0,1,['unknown'],0,0,0,0,0,0,0,0,0,0,1,"['ubereats', 'pickmefoods']",0,0,0,0,0,1,1,0
1,4,1,3,4,3,4,3,3,4,2,2,3,3,3,2,3,3,4,3,3,4,5,3,5,5,5,5,5,5,5,5,4,4,4,5,5,3,2,1,5,4,3,3,3,4,4,3,3,4,1.0,0.0,1.0,0.0,0.0,1.0,"['daraz', 'kapruka']",0,1,0,0,1,0,0,0,0,0,"['autolanka', 'riyasewana']",0,1,0,0,0,0,0,1,0,['unknown'],0,0,0,0,0,0,0,1,['kapruka'],0,0,1,0,0,0,0,0,0,0,0,"['ubereats', 'pickmefoods']",0,0,0,0,0,1,1,0
1,4,1,3,5,4,4,3,4,4,3,3,4,3,5,5,4,4,4,3,4,5,4,3,2,4,4,4,4,3,3,4,2,3,4,4,3,2,2,2,3,3,3,3,4,2,4,3,3,2,0.0,1.0,1.0,0.0,0.0,1.0,"['daraz', 'ikman']",0,1,0,1,0,0,0,0,0,0,['riyasewana'],0,0,0,0,0,0,0,1,0,['unknown'],0,0,0,0,0,0,0,1,['unknown'],0,0,0,0,0,0,0,0,0,0,1,"['ubereats', 'pickmefoods']",0,0,0,0,0,1,1,0
